Trilha;Conteúdo;Carga Horária;Objetivo
Comece por aqui;Boas-vindas!;30;Entender a dinâmica da Jornada e como aproveitar melhor os recursos da plataforma
Comece por aqui;Linkedin Profissional;60;Estruturar seu perfil profissional para atrair oportunidades e construir autoridade na área de dados
Trilha de I.A. com n8n;Introdução ao n8n, workflows e agentes de IA;30;Conhecer os conceitos básicos de automação, fluxos e uso de IA no n8n
Trilha de I.A. com n8n;Configuração do n8n cloud e deploy;30;Aprender a configurar o ambiente e publicar seus primeiros workflows na nuvem
Trilha de I.A. com n8n;Integração com Google: Gmail, Calendar e Sheets;60;Automatizar tarefas do dia a dia integrando o n8n com serviços Google
Trilha de I.A. com n8n;Inteligência Artificial no n8n com ChatGPT;60;Criar agentes inteligentes dentro do n8n para responder perguntas e executar tarefas
Trilha de I.A. com n8n;Integração com banco de dados (Postgres);60;Conectar o n8n a um banco relacional e executar queries automatizadas
Trilha de I.A. com n8n;Automação com Whatsapp e Infra self-hosted;60;Configurar automações no WhatsApp e entender como rodar o n8n em servidores próprios
Trilha de I.A. com n8n;Agente de e-mail;60;Construir um agente que lê, interpreta e responde e-mails automaticamente
Trilha de I.A. com n8n;Agente financeiro com banco de dados;60;Criar um sistema de controle financeiro com automações ligadas a banco de dados
Trilha de I.A. com n8n;Agente analista que cria relatórios;60;Gerar relatórios automatizados a partir de dados coletados
Trilha de I.A. com n8n;Agente para ler seus documentos RA;120;Usar IA para interpretar e responder perguntas sobre documentos
Trilha de I.A. com n8n;Agente que faz Web Scraping;120;Coletar informações da web e transformá-las em dados utilizáveis
Trilha de I.A. com n8n;Agente nutricionista com fotos;120;Processar imagens de refeições e estimar calorias usando IA
Trilha de I.A. com n8n;Crie uma equipe de Marketing;120;Montar fluxos que automatizam tarefas de marketing digital (posts, e-mails, leads)
Trilha de I.A. com n8n;Agente suporte (clínica) no Whatsapp com voz natural;120;Criar um chatbot com voz natural para atendimento no WhatsApp
Trilha de I.A. com n8n;Case real para vender clínicas médicas;180;Implementar um projeto completo de automação voltado a um caso real de mercado
Trilha de Python;Python, Git e VScode: Python do Zero;120;Instalar ambiente e aprender a programar em Python desde o básico
Trilha de Python;TypeError, Type Check, Type Conversion, try-except e if;120;Tratar erros e entender como o Python lida com tipos de dados
Trilha de Python;Controle de Fluxo: DEBUG, IF, FOR, While, Listas e Dicionários;120;Dominar as estruturas básicas de controle e coleções
Trilha de Python;Tipos complexos e Type Hint (Dicionários vs DataFrames Vs Tabelas Vs Excel);120;Diferenciar estruturas de dados e aplicar tipagem para organizar código
Trilha de Python;Projeto 01: Leitura e Escrita de Arquivos, lendo 1 bilhão de linhas;120;Trabalhar com grandes volumes de dados em Python
Trilha de Python;Exercício de revisão;120;Consolidar fundamentos de Python com prática aplicada
Trilha de Python;Funções em Python e Estrutura de Dados - Parte 1;120;Aprender a criar funções reutilizáveis e manipular dados de forma eficiente
Trilha de Python;Funções em Python e Estrutura de Dados - Parte 2;120;Aprender a criar funções reutilizáveis e manipular dados de forma eficiente
Trilha de Python;Funções em Python e Estrutura de Dados - Parte 3;120;Aprender a criar funções reutilizáveis e manipular dados de forma eficiente
